,id,name,album,uscita,artista,collaboratori,generi,popularity,key,bpm,energy,danceability,happiness,loudness,acousticness,instrumentalness,liveness,mode,speechiness,time_signature,valence,canzoneArtistaPreferito,canzoneSimileArtistaPreferito,canzoneSimileGenerePreferito,GenerePreferito,artistaPreferito,artistaPreferitoCoinvolto,preferito,cluster_labels
230,4YBR9F76hT40fVDfzrcOth,Take_Me_Away,Take_Me_Away,2017-01-11,Somber,['Warlord_Colossus'],[],66,10,110,0.69,0.65,0.04,-7.36,0.17,0.0,0.09,0,0.095,4,0.0408,0.0,0.0,0.0,0.0,0.0,0.0,1,21
231,17Ch96fdIWf1mdl9C6ZhdE,Unravel,Unravel,2022-05-13,Yung_Anime,[],[],0,7,135,0.68,0.5,0.34,-10.03,0.05,0.0,0.13,0,0.076,4,0.338,0.0,0.0,0.0,0.0,0.0,0.0,1,27
234,3yWHQ4n4ARLDfYTuT2NhnN,BABY_GODDAMN,BABY_GODDAMN,2021-03-26,Tananai,[],['italian pop'],66,10,114,0.76,0.82,0.89,-3.31,0.03,0.0,0.06,0,0.1,4,0.885,0.0,0.0,0.0,1.0,0.0,0.0,1,14
240,1YcPuPuHseYYiLsNVOK2Tz,Hoist_The_Colours,Hoist_The_Colours,2022-05-07,Samuel_Kim,['Colm_R._McGuinness'],['anime lo-fi'],0,4,105,0.6,0.25,0.29,-9.72,0.03,0.097,0.14,0,0.055,3,0.294,0.0,0.0,0.0,0.0,0.0,0.0,1,29
241,2DgdHcjWmO3qd50RzuBLgZ,House_of_Memories,Death_of_a_Bachelor,2016-01-15,Panic!_At_The_Disco,[],['pop'],85,11,110,0.82,0.51,0.51,-5.05,0.0,0.0,0.05,0,0.034,4,0.506,0.0,0.0,0.0,1.0,0.0,0.0,1,21
242,2Foc5Q5nqNiosCNqttzHof,Get_Lucky_(Radio_Edit)_[feat._Pharrell_Williams_and_Nile_Rodgers],Get_Lucky_(Radio_Edit)_[feat._Pharrell_Williams_and_Nile_Rodgers],2013-04-19,Daft_Punk,"['Pharrell_Williams', 'Nile_Rodgers']","['electro', 'filter house', 'rock']",85,6,116,0.81,0.79,0.86,-8.97,0.04,0.0,0.1,0,0.038,4,0.862,0.0,0.0,0.0,1.0,0.0,0.0,1,3
244,21Ay8mJRYQuOMZp7qyQXl6,50_Special,...Squérez?,1999-11-30,Lùnapop,[],"['classic italian pop', 'italian adult pop', 'italian pop']",66,7,160,0.94,0.49,0.89,-4.67,0.0,0.0,0.11,1,0.031,4,0.893,0.0,0.0,0.0,1.0,0.0,0.0,1,2
246,4WWqf2Ldy7NxPTdgG5d96C,The_King,The_Northman_(Original_Motion_Picture_Soundtrack),2022-04-22,Robin_Carolan,['Sebastian_Gainsborough'],[],48,7,115,0.59,0.31,0.2,-11.59,0.12,0.093,0.11,1,0.063,4,0.195,0.0,0.0,0.0,0.0,0.0,0.0,1,3
247,7KW1AtQKFToSoF1kmyk2wE,snowflake_(feat._Jaden_&_Sarcastic_Sounds),tell_me_your_feelings_and_i_won_t_tell_you_mine,2021-10-08,Powfu,"['Jaden', 'Sarcastic_Sounds']","['sad lo-fi', 'sad rap']",62,9,63,0.41,0.42,0.5,-10.9,0.95,0.0,0.35,0,0.25,4,0.502,0.0,0.0,0.0,0.0,0.0,0.0,1,19
248,2C80DdATZPDbwpLOyimIM0,Nigdy_albo_zawsze,Nigdy_albo_zawsze,2021-08-03,Gibbs,[],['polish hip hop'],4,8,118,0.44,0.86,0.56,-11.57,0.65,0.0,0.1,0,0.26,4,0.557,0.0,0.0,0.0,0.0,0.0,0.0,1,3
249,5yuXdw2gb5bV4MXngcfvN6,Why_Do_We_Fall?,The_Dark_Knight_Rises,2012-08-29,Hans_Zimmer,[],"['german soundtrack', 'orchestral soundtrack', 'soundtrack']",0,2,104,0.44,0.25,0.04,-14.67,0.45,0.601,0.28,0,0.04,4,0.0351,1.0,0.0,0.0,0.0,1.0,0.0,1,29
251,4J3GxS9YIeznyxjYpgXSN3,Light_s_Theme_Rude,Light_s_Theme_Rude,2022-03-27,Withzera,[],[],0,3,136,0.41,0.61,0.15,-11.15,0.0,0.917,0.34,0,0.057,4,0.151,0.0,0.0,0.0,0.0,0.0,0.0,1,27
256,4WmB04GBqS4xPMYN9dHgBw,Day_One_(Interstellar_Theme),Interstellar_(Original_Motion_Picture_Soundtrack)_[Expanded_Edition],2014-11-18,Hans_Zimmer,[],"['german soundtrack', 'orchestral soundtrack', 'soundtrack']",70,9,96,0.02,0.31,0.07,-27.79,0.93,0.964,0.07,0,0.035,3,0.0658,1.0,0.0,0.0,0.0,1.0,0.0,1,25
257,4gHnSNHs8RyVukKoWdS99f,Something_In_The_Way,Nevermind_(Remastered),1991-09-26,Nirvana,[],"['grunge', 'permanent wave', 'rock']",77,8,105,0.2,0.43,0.07,-13.04,0.74,0.263,0.11,1,0.032,4,0.0668,0.0,0.0,0.0,1.0,0.0,0.0,1,29
260,6bXCGI0zBTjvwYBlDkFey3,Ashes_on_The_Fire,TVアニメ「進撃の巨人」_The_Final_Season_Original_Soundtrack,2021-06-23,KOHTA_YAMAMOTO,[],[],35,7,102,0.68,0.22,0.09,-10.28,0.0,0.93,0.06,1,0.047,3,0.0908,0.0,0.0,0.0,0.0,0.0,0.0,1,29
264,5nyef8bHyXaglyArVUNlre,Deadwood,Deadwood,2021-04-09,Really_Slow_Motion,[],['epicore'],67,10,180,0.76,0.34,0.13,-5.5,0.19,0.862,0.14,1,0.082,3,0.133,0.0,0.0,0.0,0.0,0.0,0.0,1,4
266,4borvJwC52LxxtDpAUmCRe,Star_Shopping,Star_Shopping,2021-06-26,Megami,[],['ambient lo-fi'],0,2,88,0.24,0.39,0.61,-19.01,0.9,0.916,0.11,1,0.034,4,0.607,0.0,0.0,0.0,1.0,0.0,0.0,1,25
271,0551d0IIpufWriBpfaSe05,This_Letter_I_Write,This_Letter_I_Write,2021-09-17,Verum,[],[],44,0,120,0.24,0.78,0.39,-14.69,0.85,0.0,0.11,1,0.133,4,0.394,0.0,0.0,0.0,0.0,0.0,0.0,1,28
272,1O2uHsaN51rIqE6FChYgI5,Killing_Strangers,The_Pale_Emperor_(Deluxe_Version),2014-01-01,Marilyn_Manson,[],"['alternative metal', 'hard rock', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",45,5,60,0.55,0.59,0.51,-5.94,0.01,0.0,0.13,1,0.038,4,0.509,0.0,0.0,0.0,1.0,0.0,0.0,1,19
273,3dqHiEY4imK4a1EDLRVUtj,Solas,Solas,2022-02-04,Jamie_Duffy,[],[],2,4,85,0.34,0.31,0.36,-16.71,0.96,0.889,0.09,0,0.036,4,0.356,0.0,0.0,0.0,0.0,0.0,0.0,1,25
276,3nd9LYwkRmQXON3a96B8Lk,Up_In_Flames_(Single_from_“Time_Is_Up”_Soundtrack),Up_In_Flames_(Single_from_“Time_Is_Up”_Soundtrack),2021-09-24,Benji,['Bella_Thorne'],['italian pop'],44,6,110,0.41,0.67,0.39,-10.3,0.46,0.0,0.12,1,0.042,4,0.392,0.0,0.0,0.0,1.0,0.0,0.0,1,21
280,2kaNmAbqrtOf7Rdr3fnCWl,Toxic,Faded,2021-09-10,BoyWithUke,[],['sad rap'],0,8,180,0.61,0.59,0.69,-6.63,0.83,0.0,0.46,0,0.363,4,0.687,0.0,0.0,0.0,0.0,0.0,0.0,1,4
284,6Wx88Mv6b9ofjKMKkdwOJd,New_Divide,Transformers:_Revenge_Of_The_Fallen_The_Album,2009-06-12,Linkin_Park,[],"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",73,5,118,0.81,0.49,0.38,-3.37,0.0,0.0,0.1,0,0.036,4,0.38,0.0,0.0,0.0,1.0,0.0,0.0,1,14
286,1kmbMgdH81XirPnEuGQ2by,The_River,Dark_Country_4,2019-06-05,Blues_Saraceno,[],"['modern blues rock', 'rebel blues']",58,11,74,0.44,0.55,0.37,-8.19,0.05,0.002,0.24,0,0.039,4,0.37,0.0,0.0,0.0,0.0,0.0,0.0,1,7
288,5OFf5pzpIcdstWwAhv5YXE,right_here,right_here,2021-11-15,Lil_Peep,['Horsehead'],"['cloud rap', 'emo rap', 'lgbtq+ hip hop']",2,8,110,0.72,0.6,0.21,-7.12,0.0,0.0,0.12,0,0.031,4,0.213,0.0,0.0,0.0,1.0,0.0,0.0,1,21
289,4xhWfr0tyA7BGL7eXo8KnV,ALL_GIRLS_ARE_THE_SAME,ALL_GIRLS_ARE_THE_SAME,2020-04-30,RØNIN,[],"['sad lo-fi', 'sad rap']",7,9,118,0.34,0.79,0.47,-10.92,0.59,0.0,0.1,0,0.086,4,0.468,0.0,0.0,0.0,0.0,0.0,0.0,1,3
291,3UoRLUFPhTSYqhbqSdlf1U,North_Memphis,North_Memphis,2019-08-07,Pharmacist,[],['drift phonk'],2,1,167,0.95,0.71,0.95,-5.53,0.0,0.861,0.06,1,0.057,4,0.951,0.0,0.0,0.0,0.0,0.0,0.0,1,12
293,04sN26COy28wTXYj3dMoiZ,Bored,Bored,2017-03-30,Billie_Eilish,[],"['art pop', 'electropop', 'pop']",85,7,120,0.32,0.61,0.11,-12.7,0.9,0.002,0.08,1,0.048,4,0.112,1.0,0.0,0.0,1.0,1.0,0.0,1,28
296,30QR0ndUdiiMQMA9g1PGCm,"...And_to_Those_I_Love,_Thanks_for_Sticking_Around",Stop_Staring_At_the_Shadows,2020-02-14,$uicideboy$,[],"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']",82,2,114,0.51,0.79,0.11,-6.88,0.12,0.0,0.14,1,0.041,4,0.111,0.0,0.0,0.0,0.0,0.0,0.0,1,8
299,2QTDuJIGKUjR7E2Q6KupIh,Test_Drive_-_From_How_To_Train_Your_Dragon_Music_From_The_Motion_Picture,How_To_Train_Your_Dragon_(Music_From_The_Motion_Picture),2010-01-01,John_Powell,[],"['british soundtrack', 'orchestral soundtrack', 'soundtrack']",68,2,111,0.58,0.26,0.24,-9.49,0.02,0.978,0.33,1,0.042,4,0.24,0.0,0.0,0.0,0.0,0.0,0.0,1,8
300,5yfE6GXTuJaAlepKoE0wJE,Ringo_Starr,Fuori_dall_Hype_Ringo_Starr,2020-02-07,Pinguini_Tattici_Nucleari,[],"['bergamo indie', 'italian indie pop', 'italian pop', 'milan indie']",66,4,114,0.93,0.75,0.86,-2.91,0.3,0.0,0.31,0,0.051,4,0.857,0.0,0.0,0.0,1.0,0.0,0.0,1,14
301,6BoXckigjvnIAZVQV6lELq,DTB,DTB,2021-11-12,Merczz,[],['melodic drill'],0,8,68,0.43,0.55,0.72,-12.67,0.58,0.0,0.1,1,0.385,4,0.716,0.0,0.0,0.0,0.0,0.0,0.0,1,19
302,7uHRKSQ9WIlBBuBY7BHcbq,Forever,Forever,2019-03-08,ilyTOMMY,[],['aesthetic rap'],74,5,107,0.34,0.61,0.29,-14.91,0.68,0.0,0.17,0,0.135,5,0.292,0.0,0.0,0.0,1.0,0.0,0.0,1,29
305,6tO5bxNnMuh1c3cziSpecA,Paris,Now_the_Moon_s_Rising,2015-11-20,$uicideboy$,[],"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']",80,7,106,0.65,0.85,0.2,-6.19,0.07,0.006,0.1,1,0.084,4,0.195,0.0,0.0,0.0,0.0,0.0,0.0,1,21
306,2KqF0HOqemdENMnXRgaQ3X,Satisfya_slo_rev,Satisfya_slo_rev,2021-02-20,Hairy_Potter,[],['slowed and reverb'],0,11,132,0.47,0.77,0.45,-13.12,0.04,0.0,0.29,0,0.117,4,0.449,0.0,0.0,0.0,0.0,0.0,0.0,1,27
309,58HvfVOeJY7lUuCqF0m3ly,MIDDLE_OF_THE_NIGHT,MIDDLE_OF_THE_NIGHT,2020-01-10,Elley_Duhé,[],['alt z'],88,4,186,0.61,0.41,0.09,-8.27,0.02,0.0,0.12,0,0.047,3,0.0899,0.0,0.0,0.0,0.0,0.0,0.0,1,4
311,5xPazRvyrkVootu8pM9vUG,Rolling_in_the_Deep,Rolling_In_The_Deep,2010-11-30,Adele,[],"['british soul', 'pop', 'pop soul', 'uk pop']",0,8,105,0.77,0.73,0.51,-5.11,0.14,0.0,0.05,1,0.03,4,0.507,0.0,0.0,0.0,1.0,0.0,0.0,1,21
313,4jwV8xaRDADxcSMXBJB7pL,Lost_Forever,Lost_Forever,2021-12-03,Sergio_Valentino,[],[],1,8,91,0.26,0.35,0.14,-14.11,0.0,0.164,0.12,1,0.172,4,0.14,0.0,0.0,0.0,0.0,0.0,0.0,1,25
315,4IhTXiZLKATmwhMZIb1GQN,Lights_Are_On,Z-Sides,2018-10-26,Tom_Rosenthal,[],['british singer-songwriter'],82,3,136,0.04,0.44,0.25,-16.89,0.98,0.465,0.11,1,0.032,4,0.249,0.0,0.0,0.0,0.0,0.0,0.0,1,27
316,1OeZaHZfc301gelC5cUbNm,Where_is_my_Mind?_-_Piano_Rendition,Haunted_Piano_-_Halloween_Moods,2019-09-30,The_Blue_Notes,[],[],51,1,146,0.12,0.43,0.19,-17.27,0.96,0.951,0.08,0,0.049,4,0.188,0.0,0.0,0.0,0.0,0.0,0.0,1,24
317,5m0hfGYqZ0JUUobgHKymU4,Praise_God_(Slowed),Praise_God_(Slowed),2021-10-15,JK_Beats,[],['slowed and reverb'],47,10,107,0.41,0.75,0.27,-11.74,0.01,0.043,0.15,0,0.05,4,0.274,0.0,0.0,0.0,0.0,0.0,0.0,1,21
319,2nLtzopw4rPReszdYBJU6h,Numb,Meteora,2003-03-24,Linkin_Park,[],"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",88,9,110,0.86,0.5,0.24,-4.15,0.0,0.0,0.64,1,0.038,4,0.243,0.0,0.0,0.0,1.0,0.0,0.0,1,21
322,7wi6QTirU031cm7KodB7HW,Smells_Like_Teen_Spirit,Smells_Like_Teen_Spirit,2021-02-05,Witchz,[],[],0,1,114,0.5,0.66,0.27,-6.32,0.0,0.001,0.14,1,0.038,4,0.27,0.0,0.0,0.0,0.0,0.0,0.0,1,8
323,3aUFrxO1B8EW63QchEl3wX,Feel_The_Love,KIDS_SEE_GHOSTS,2018-06-08,KIDS_SEE_GHOSTS,['Pusha_T'],['rap'],63,0,111,0.47,0.58,0.37,-5.95,0.13,0.0,0.1,0,0.104,4,0.369,0.0,0.0,0.0,1.0,0.0,0.0,1,8
328,0SuvQEg8ePv15uA8myWoxd,SkinTheBone,SkinTheBone,2019-12-05,NothingNothingNothing,[],['sad lo-fi'],40,2,115,0.39,0.53,0.15,-8.89,0.42,0.094,0.11,0,0.062,4,0.146,0.0,0.0,0.0,0.0,0.0,0.0,1,8
329,5llDNMxPVSzK0biHItf2E6,With_No_Mercy,Legendary,2021-03-29,Secession_Studios,['Greg_Dombrowski'],['epicore'],30,2,85,0.35,0.4,0.06,-17.27,0.01,0.818,0.11,0,0.032,4,0.0602,0.0,0.0,0.0,0.0,0.0,0.0,1,25
330,3j7VbHWftihT70fBSvT9Aa,"freaks_but_slowed,_muffled_echo","freaks_but_slowed,_muffled_echo",2021-05-27,Dazel_Ukuto,[],['slowed and reverb'],0,10,145,0.39,0.34,0.19,-27.1,0.48,0.727,0.11,1,0.048,4,0.187,0.0,0.0,0.0,0.0,0.0,0.0,1,24
334,0H3NQ8M9eL2DoLWBFt3IPU,Hometown_Slow,Hometown_Slow,2021-06-18,Abyss_Sounds,[],['slowed and reverb'],58,7,78,0.43,0.43,0.23,-10.66,0.6,0.71,0.34,0,0.035,4,0.225,0.0,0.0,0.0,0.0,0.0,0.0,1,7
336,1OU2GUqWHfKGVPtJQnWKkt,Sadwave,Beats_Vol.2,2020-01-17,MISERY,[],[],0,1,180,0.26,0.39,0.04,-14.79,0.53,0.828,0.08,1,0.031,3,0.0368,0.0,0.0,0.0,0.0,0.0,0.0,1,16
337,0Bho4m1xtF0Np8nH1JwXlO,I_m_Only_a_Fool_for_You,I&#039;m_Only_a_Fool_for_You,2021-10-26,Dybbukk,[],"['sad lo-fi', 'slowed and reverb', 'sped up']",0,8,71,0.32,0.63,0.37,-7.65,0.03,0.535,0.44,1,0.046,4,0.367,0.0,0.0,0.0,0.0,0.0,0.0,1,7
339,0AUyNF6iFxMNQsNx2nhtrw,Blood_//_Water,Blood_//_Water,2018-05-04,grandson,[],"['modern alternative rock', 'modern rock', 'pov: indie', 'rock']",76,8,154,0.88,0.51,0.65,-5.66,0.0,0.002,0.08,0,0.159,4,0.653,0.0,0.0,0.0,1.0,0.0,0.0,1,2
344,1dC459M55edeKPG6d1f1GX,Halloween_Kills_(Main_Title),Halloween_Kills_(Original_Motion_Picture_Soundtrack),2021-10-15,John_Carpenter,"['Cody_Carpenter', 'Daniel_Davies']",['horror synth'],37,6,136,0.23,0.47,0.04,-14.15,0.96,0.979,0.11,0,0.032,5,0.0394,0.0,0.0,0.0,0.0,0.0,0.0,1,27
346,6r7ULK6c5CLVvImjTIztl1,Floor_555,?,2018-03-16,XXXTENTACION,[],"['emo rap', 'miami hip hop']",73,9,105,0.69,0.69,0.35,-8.15,0.0,0.002,0.36,0,0.048,4,0.354,1.0,0.0,0.0,1.0,1.0,0.0,1,21
351,1PWOkqMORYdGa0OEh2GaXM,Notti_In_Bianco,Blu_Celeste,2021-09-09,BLANCO,[],"['italian hip hop', 'italian pop']",65,6,75,0.79,0.6,0.69,-3.24,0.36,0.0,0.1,1,0.042,4,0.693,0.0,0.0,0.0,1.0,0.0,0.0,1,7
352,6uTAqPbEPg37s1r9MRg21Q,Almighty_Push,Almighty_Push,2021-01-24,KMusic_BeatZ,[],[],0,7,180,0.63,0.35,0.08,-10.78,0.02,0.002,0.43,1,0.115,4,0.0767,0.0,0.0,0.0,0.0,0.0,0.0,1,4
354,0M5igzLuVkGfr76ezrAZI3,Face_Off,ASIN9NE,2021-10-08,Tech_N9ne,"['Joey_Cool', 'King_Iso', 'Dwayne_Johnson']",['kansas city hip hop'],48,8,164,0.93,0.68,0.39,-4.0,0.18,0.0,0.21,1,0.248,4,0.387,0.0,0.0,0.0,0.0,0.0,0.0,1,2
356,5de9Ho64dovuQI8Uhn5gPD,I_Don_t_Wanna_Do_This_Anymore,Revenge,2017-05-16,XXXTENTACION,[],"['emo rap', 'miami hip hop']",79,4,114,0.78,0.43,0.76,-7.68,0.84,0.0,0.14,1,0.041,4,0.764,1.0,0.0,0.0,1.0,1.0,0.0,1,8
361,2naBVHNHinneXOYmczG7xE,Killing_Strangers,The_Pale_Emperor,2015-01-19,Marilyn_Manson,[],"['alternative metal', 'hard rock', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",60,5,60,0.55,0.59,0.51,-5.95,0.01,0.0,0.13,1,0.038,4,0.511,0.0,0.0,0.0,1.0,0.0,0.0,1,19
366,1x3Qb8np6S1UvpSLthwEJN,MI_FAI_IMPAZZIRE,MI_FAI_IMPAZZIRE,2021-06-17,BLANCO,['Sfera_Ebbasta'],"['italian hip hop', 'italian pop']",70,11,170,0.84,0.48,0.2,-4.87,0.0,0.0,0.14,1,0.046,4,0.203,0.0,0.0,0.0,1.0,0.0,0.0,1,12
369,6FCWM1nmcM5fEPgS2EUAtB,CRIMINALE,FLOP,2021-10-01,Salmo,[],"['italian hip hop', 'italian pop', 'italian underground hip hop', 'rap sardegna']",50,7,160,0.78,0.71,0.68,-5.24,0.0,0.0,0.15,1,0.095,4,0.681,1.0,0.0,0.0,1.0,1.0,0.0,1,2
371,4uX7M3U4I1nsZ7SFM4XNCn,Kings_Never_Die,Southpaw_(Music_From_And_Inspired_By_The_Motion_Picture),2015-07-24,Eminem,['Gwen_Stefani'],"['detroit hip hop', 'hip hop', 'rap']",63,4,113,0.9,0.77,0.06,-5.29,0.03,0.0,0.2,0,0.129,3,0.0593,1.0,0.0,0.0,1.0,1.0,0.0,1,8
372,0Yhc7yL95DZhHjJQbkNZpB,I_m_Never_Enough,I_m_Never_Enough,2021-09-13,Ghostyboy,[],[],47,2,104,0.48,0.32,0.41,-12.06,0.64,0.009,0.15,1,0.036,4,0.406,0.0,0.0,0.0,0.0,0.0,0.0,1,29
380,267NGliXM8YLVZiKAD9Otm,De_Museo,De_Museo,2021-07-06,Bad_Bunny,[],"['reggaeton', 'trap latino', 'urbano latino']",68,4,132,0.49,0.59,0.23,-10.62,0.24,0.0,0.13,0,0.075,4,0.231,0.0,0.0,0.0,0.0,0.0,0.0,1,27
381,5HCyWlXZPP0y6Gqq8TgA20,STAY_(with_Justin_Bieber),STAY_(with_Justin_Bieber),2021-07-09,The_Kid_LAROI,['Justin_Bieber'],['australian hip hop'],88,1,170,0.76,0.59,0.48,-5.48,0.04,0.0,0.1,1,0.048,4,0.478,0.0,0.0,0.0,0.0,0.0,0.0,1,12
383,2K22nUTdyr48JDwI5t906t,Relax,Welcome_To_The_Pleasuredome,1984-10-20,Frankie_Goes_To_Hollywood,[],"['dance rock', 'hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",75,11,115,0.69,0.68,0.69,-13.39,0.33,0.0,0.05,0,0.039,4,0.691,0.0,0.0,0.0,0.0,0.0,0.0,1,3
387,2gQYziDV5cSTRSqr6akzi5,Take_A_Step_Back,You_Will_Regret_(Reloaded),2018-02-02,Ski_Mask_The_Slump_God,['XXXTENTACION'],"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']",74,6,117,0.59,0.8,0.75,-8.81,0.11,0.0,0.43,1,0.271,4,0.747,0.0,0.0,0.0,1.0,0.0,1.0,1,3
388,658I1uDnmLSiltFCf98AWE,RIP_Roach,Revenge,2017-05-16,XXXTENTACION,['Ski_Mask_The_Slump_God'],"['emo rap', 'miami hip hop']",77,8,105,0.62,0.73,0.56,-6.44,0.4,0.0,0.09,1,0.306,4,0.555,1.0,0.0,0.0,1.0,1.0,0.0,1,21
390,2S2KuxanBtLEfR9ckyCAjC,Idgaf,Idgaf,2021-01-01,Zero_Pandas,['Really_Slow_Motion'],[],0,0,180,0.77,0.28,0.13,-4.67,0.08,0.925,0.12,0,0.086,3,0.134,0.0,0.0,0.0,0.0,0.0,0.0,1,4
392,0WsNwZkpnX7zHi0I8kePfX,Положение_(2_Remix),Положение_(2_Remix),2020-06-23,Dior,[],[],0,11,113,0.39,0.77,0.21,-13.45,0.62,0.0,0.08,0,0.053,4,0.212,0.0,0.0,0.0,0.0,0.0,0.0,1,3
401,4pR15uGk0c6RnFcJVAR4Ns,Farewell,Furious_7_(Original_Motion_Picture_Score),2015-03-31,Brian_Tyler,[],"['orchestral soundtrack', 'scorecore', 'soundtrack']",34,10,160,0.19,0.32,0.07,-25.32,0.69,0.87,0.08,1,0.039,4,0.0685,0.0,0.0,0.0,0.0,0.0,0.0,1,24
404,0eXeqGXAnF028500sPYvbY,Hell_s_Carol,Hell_s_Carol,2018-12-25,Hopsin,[],['conscious hip hop'],52,7,185,0.79,0.56,0.43,-5.95,0.17,0.0,0.16,0,0.304,3,0.431,0.0,0.0,0.0,0.0,0.0,0.0,1,4
405,7qbs4ZjVVJdSlYTUEk1x84,Good_Life_(with_G-Eazy_&_Kehlani),The_Fate_of_the_Furious:_The_Album,2017-04-14,G-Eazy,['Kehlani'],"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",53,1,168,0.78,0.57,0.54,-5.21,0.01,0.0,0.06,1,0.233,4,0.54,0.0,0.0,0.0,1.0,0.0,0.0,1,12
406,3KwmKQfn3BXTFVCy0nvPgE,Hey_Ma_(with_J_Balvin_&_Pitbull_feat._Camila_Cabello),The_Fate_of_the_Furious:_The_Album,2017-04-14,J_Balvin,"['Pitbull', 'Camila_Cabello']","['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",24,7,106,0.95,0.71,0.57,-2.96,0.02,0.0,0.12,1,0.108,4,0.571,0.0,0.0,0.0,0.0,0.0,0.0,1,21
409,6gkm8eZDBIEu7VFEZbkcFx,ROADRUNNER_+,-_TRAGEDY_+,2020-03-06,$NOT,[],"['aesthetic rap', 'cloud rap', 'florida rap', 'underground hip hop']",62,1,180,0.54,0.72,0.59,-7.04,0.2,0.0,0.06,1,0.455,4,0.589,0.0,0.0,0.0,0.0,0.0,0.0,1,4
414,13pPMF0wN7r19IU8vV2igc,E_Fumo_Ancora_-_Acoustic_Version,Ogni_maledetto_giorno_(Inferno_Edition),2018-05-11,Mostro,['Ultimo'],"['italian hip hop', 'italian pop']",56,0,184,0.56,0.48,0.28,-10.31,0.83,0.0,0.1,0,0.438,4,0.282,1.0,0.0,0.0,1.0,1.0,0.0,1,4
417,6FwJj7uwhZ1vrBlDZvMLZk,"Is_You_Ready_-_From_""Mile_22""","Is_You_Ready_(From_""Mile_22"")",2018-08-17,Migos,[],"['atl hip hop', 'hip hop', 'rap', 'trap']",53,2,178,0.73,0.74,0.24,-3.42,0.18,0.0,0.09,1,0.379,4,0.243,0.0,0.0,0.0,1.0,0.0,0.0,1,4
419,7dYgzrhdIIjTQTvUjlrWxa,Occhi_Lucidi,Occhi_Lucidi,2020-12-10,Leon_Faun,['Duffy'],['italian hip hop'],46,2,186,0.54,0.7,0.83,-6.4,0.26,0.0,0.12,0,0.21,3,0.834,0.0,0.0,0.0,1.0,0.0,0.0,1,4
422,4ylL1oPx1rY1yFivslLFOR,VOCE,MADAME,2021-03-18,Madame,[],"['italian adult pop', 'italian hip hop', 'italian pop', 'trap italiana']",0,8,113,0.83,0.61,0.34,-5.47,0.1,0.0,0.16,1,0.067,4,0.341,0.0,0.0,0.0,1.0,0.0,0.0,1,14
424,5i12eplaUT5pPE5iC6B2FZ,"Bam_Bam_Twist_(feat._Gow_Tribe,_Frenetik&Orang3)",1969_-_Achille_Idol_Rebirth,2020-09-25,Achille_Lauro,"['Gow_Tribe', 'Frenetik&Orang3']","['italian adult pop', 'italian hip hop', 'italian pop']",59,2,160,0.89,0.57,0.49,-4.32,0.0,0.0,0.15,1,0.054,4,0.487,0.0,0.0,0.0,1.0,0.0,0.0,1,2
425,5g3lnGtMq0m30T6xHElZqJ,Cioilflow_(feat._Salmo)_-_prod._Strage,Scusate,2020-04-30,Dani_Faiv,['Salmo'],['italian hip hop'],35,7,157,0.54,0.86,0.87,-8.35,0.71,0.0,0.1,0,0.439,4,0.866,0.0,0.0,0.0,1.0,0.0,1.0,1,2
433,21pk7rsFoQESMSuBi8FVYr,Per_favore,Low_Profile,2020-03-20,Nyv,[],['italian pop'],57,11,133,0.32,0.49,0.29,-11.08,0.63,0.0,0.13,1,0.113,4,0.289,0.0,0.0,0.0,1.0,0.0,0.0,1,27
437,2xOpS11DZsce3hAtgVaI2u,Suicide_Note,Suicide_Note,2020-12-01,Jurrivh,[],[],50,2,74,0.12,0.36,0.19,-24.52,0.96,0.918,0.15,1,0.034,4,0.187,0.0,0.0,0.0,0.0,0.0,0.0,1,15
438,7eVlExNXOnlsxDZMOZklmA,La_vita_dopo_la_notte.,Tenebra_è_la_notte_e_altri_racconti_di_buio_e_crepuscoli,2019-02-01,Murubutu,[],"['indie rock italiano', 'italian underground hip hop']",40,11,180,0.75,0.62,0.57,-6.19,0.07,0.0,0.27,0,0.312,4,0.57,0.0,0.0,1.0,1.0,0.0,0.0,1,4
441,49DdXiItBP3JnoSGB1tJHe,COMETE_(Prod._Sick_Luke)_(feat._Side_Baby),UFO,2019-06-21,Zoda,"['Sick_Luke', 'Side_Baby']",['italian hip hop'],29,8,115,0.67,0.69,0.45,-5.98,0.25,0.0,0.34,1,0.164,4,0.445,1.0,0.0,0.0,1.0,1.0,0.0,1,14
